MunicipioID,Municipio&UF,Year,Attribute,Commodity,Unit,Total Planted Acres
5300108,Brasília (DF),1974,Harvested Area,Soja (em grão),Hectares,13
5300108,Brasília (DF),1974,Production,Soja (em grão),Toneladas,22.997
5300108,Brasília (DF),1976,Harvested Area,Soja (em grão),Hectares,27
5300108,Brasília (DF),1976,Production,Soja (em grão),Toneladas,31.995
5300108,Brasília (DF),1977,Harvested Area,Soja (em grão),Hectares,1
5300108,Brasília (DF),1977,Production,Soja (em grão),Toneladas,1
5300108,Brasília (DF),1978,Harvested Area,Soja (em grão),Hectares,207
5300108,Brasília (DF),1978,Production,Soja (em grão),Toneladas,371.979
5300108,Brasília (DF),1979,Harvested Area,Soja (em grão),Hectares,1808
5300108,Brasília (DF),1979,Production,Soja (em grão),Toneladas,3362.88
5300108,Brasília (DF),1980,Harvested Area,Soja (em grão),Hectares,7122
5300108,Brasília (DF),1980,Production,Soja (em grão),Toneladas,13702.728
5300108,Brasília (DF),1981,Harvested Area,Soja (em grão),Hectares,15300
5300108,Brasília (DF),1981,Production,Soja (em grão),Toneladas,25551
5300108,Brasília (DF),1982,Harvested Area,Soja (em grão),Hectares,17049
5300108,Brasília (DF),1982,Production,Soja (em grão),Toneladas,32444.247
5300108,Brasília (DF),1983,Harvested Area,Soja (em grão),Hectares,19904
5300108,Brasília (DF),1983,Production,Soja (em grão),Toneladas,39808
5300108,Brasília (DF),1984,Harvested Area,Soja (em grão),Hectares,30000
5300108,Brasília (DF),1984,Production,Soja (em grão),Toneladas,51990
5300108,Brasília (DF),1985,Harvested Area,Soja (em grão),Hectares,45260
5300108,Brasília (DF),1985,Production,Soja (em grão),Toneladas,91787.28
5300108,Brasília (DF),1986,Harvested Area,Soja (em grão),Hectares,48840
5300108,Brasília (DF),1986,Production,Soja (em grão),Toneladas,83809.44
5300108,Brasília (DF),1987,Harvested Area,Soja (em grão),Hectares,43866
5300108,Brasília (DF),1987,Production,Soja (em grão),Toneladas,90056.898
5300108,Brasília (DF),1988,Harvested Area,Soja (em grão),Hectares,42778
5300108,Brasília (DF),1988,Production,Soja (em grão),Toneladas,81919.87
5300108,Brasília (DF),1989,Harvested Area,Soja (em grão),Hectares,56295
5300108,Brasília (DF),1989,Production,Soja (em grão),Toneladas,122891.985
5300108,Brasília (DF),1990,Harvested Area,Soja (em grão),Hectares,53500
5300108,Brasília (DF),1990,Production,Soja (em grão),Toneladas,79501
5300108,Brasília (DF),1991,Harvested Area,Soja (em grão),Hectares,43106
5300108,Brasília (DF),1991,Production,Soja (em grão),Toneladas,101212.888
5300108,Brasília (DF),1992,Harvested Area,Soja (em grão),Hectares,42000
5300108,Brasília (DF),1992,Production,Soja (em grão),Toneladas,92820
5300108,Brasília (DF),1993,Harvested Area,Soja (em grão),Hectares,44760
5300108,Brasília (DF),1993,Production,Soja (em grão),Toneladas,95159.76
5300108,Brasília (DF),1994,Harvested Area,Soja (em grão),Hectares,49401
5300108,Brasília (DF),1994,Production,Soja (em grão),Toneladas,106656.759
5300108,Brasília (DF),1995,Harvested Area,Soja (em grão),Hectares,43831
5300108,Brasília (DF),1995,Production,Soja (em grão),Toneladas,86171.746
5300108,Brasília (DF),1996,Harvested Area,Soja (em grão),Hectares,34733
5300108,Brasília (DF),1996,Production,Soja (em grão),Toneladas,67034.69
5300108,Brasília (DF),1997,Harvested Area,Soja (em grão),Hectares,34620
5300108,Brasília (DF),1997,Production,Soja (em grão),Toneladas,79383.66
5300108,Brasília (DF),1998,Harvested Area,Soja (em grão),Hectares,35628
5300108,Brasília (DF),1998,Production,Soja (em grão),Toneladas,86362.272
5300108,Brasília (DF),1999,Harvested Area,Soja (em grão),Hectares,28390
5300108,Brasília (DF),1999,Production,Soja (em grão),Toneladas,65609.29
5300108,Brasília (DF),2000,Harvested Area,Soja (em grão),Hectares,33582
5300108,Brasília (DF),2000,Production,Soja (em grão),Toneladas,92887.812
5300108,Brasília (DF),2001,Harvested Area,Soja (em grão),Hectares,34779
5300108,Brasília (DF),2001,Production,Soja (em grão),Toneladas,71366.508
