MunicipioID,Municipio&UF,Year,Attribute,Commodity,Unit,Total Planted Acres
5300108,Brasília (DF),2005,Harvested Area,Soja (em grão),Hectares,59020.0
5300108,Brasília (DF),2006,Harvested Area,Soja (em grão),Hectares,53980.0
5300108,Brasília (DF),2007,Harvested Area,Soja (em grão),Hectares,52606.0
5300108,Brasília (DF),2008,Harvested Area,Soja (em grão),Hectares,48712.0
5300108,Brasília (DF),2009,Harvested Area,Soja (em grão),Hectares,48915.0
5300108,Brasília (DF),2010,Harvested Area,Soja (em grão),Hectares,55402.0
5300108,Brasília (DF),2011,Harvested Area,Soja (em grão),Hectares,54854.0
5300108,Brasília (DF),2012,Harvested Area,Soja (em grão),Hectares,55050.0
5300108,Brasília (DF),2013,Harvested Area,Soja (em grão),Hectares,52500.0
5300108,Brasília (DF),2014,Harvested Area,Soja (em grão),Hectares,72000.0
5300108,Brasília (DF),2015,Harvested Area,Soja (em grão),Hectares,68862.0
5300108,Brasília (DF),2016,Harvested Area,Soja (em grão),Hectares,70875.0
5300108,Brasília (DF),2017,Harvested Area,Soja (em grão),Hectares,70000.0
5300108,Brasília (DF),2018,Harvested Area,Soja (em grão),Hectares,71500.0
5300108,Brasília (DF),2019,Harvested Area,Soja (em grão),Hectares,75000.0
5300108,Brasília (DF),2020,Harvested Area,Soja (em grão),Hectares,74500.0
5300108,Brasília (DF),2021,Harvested Area,Soja (em grão),Hectares,80000.0
5222302,Vila Propício (GO),2005,Harvested Area,Soja (em grão),Hectares,12500.0
5222302,Vila Propício (GO),2006,Harvested Area,Soja (em grão),Hectares,10000.0
5222302,Vila Propício (GO),2007,Harvested Area,Soja (em grão),Hectares,10000.0
5222302,Vila Propício (GO),2008,Harvested Area,Soja (em grão),Hectares,9500.0
5222302,Vila Propício (GO),2009,Harvested Area,Soja (em grão),Hectares,10000.0
5222302,Vila Propício (GO),2010,Harvested Area,Soja (em grão),Hectares,12000.0
5222302,Vila Propício (GO),2011,Harvested Area,Soja (em grão),Hectares,12500.0
5222302,Vila Propício (GO),2012,Harvested Area,Soja (em grão),Hectares,15600.0
5222302,Vila Propício (GO),2013,Harvested Area,Soja (em grão),Hectares,17000.0
5222302,Vila Propício (GO),2014,Harvested Area,Soja (em grão),Hectares,17200.0
5222302,Vila Propício (GO),2015,Harvested Area,Soja (em grão),Hectares,16000.0
5222302,Vila Propício (GO),2016,Harvested Area,Soja (em grão),Hectares,18000.0
5222302,Vila Propício (GO),2017,Harvested Area,Soja (em grão),Hectares,17000.0
5222302,Vila Propício (GO),2018,Harvested Area,Soja (em grão),Hectares,16300.0
5222302,Vila Propício (GO),2019,Harvested Area,Soja (em grão),Hectares,16500.0
5222302,Vila Propício (GO),2020,Harvested Area,Soja (em grão),Hectares,16700.0
5222302,Vila Propício (GO),2021,Harvested Area,Soja (em grão),Hectares,22950.0
5222203,Vila Boa (GO),2011,Harvested Area,Soja (em grão),Hectares,500.0
5222203,Vila Boa (GO),2012,Harvested Area,Soja (em grão),Hectares,500.0
5222203,Vila Boa (GO),2013,Harvested Area,Soja (em grão),Hectares,500.0
5222203,Vila Boa (GO),2014,Harvested Area,Soja (em grão),Hectares,500.0
5222203,Vila Boa (GO),2015,Harvested Area,Soja (em grão),Hectares,2400.0
