Year,gdp_per_capita,total_population,urban_population
1960,89.7150749167731,667070000,131717278
1961,75.9655011127574,660330000,127405724
1962,71.0616845971262,665770000,115344340
1963,74.4681540864463,682335000,114879915
1964,85.6611074645449,698355000,127798959
1965,98.6681688740435,715185000,128616573
1966,104.50646350178,735400000,131340439
1967,96.7614480104016,754550000,133860306
1968,91.6454581848979,774510000,136471712
1969,100.308139479526,796025000,139300169
1970,113.346243039894,818315000,142223062
1971,118.84249157909,841105000,145179409
1972,132.097410431007,862030000,147681368
1973,157.339888078555,881940000,151700685
1974,160.402546852304,900350000,154535692
1975,178.621249282085,916395000,158946242
1976,165.680987722637,930685000,162279250
1977,185.728620718294,943455000,165586908
1978,156.655616850835,956165000,171298938
1979,184.285853059043,969005000,183733652
1980,195.149479992051,981235000,190272409
1981,197.425510967822,993885000,200332315
1982,203.722788366928,1008630000,207429825
1983,225.86534696156,1023310000,221276090
1984,251.192686463827,1036825000,238617693
1985,295.007445815897,1051040000,249169098
1986,282.445603096707,1066790000,261629348
1987,252.256760114454,1084035000,274470133
1988,284.023573149686,1101630000,284382176
1989,311.429461227032,1118650000,293200950
1990,318.50335359039,1135185000,297369675
1991,334.130288119078,1150780000,310022970
1992,367.822651903542,1164970000,319899240
1993,378.939353053314,1178440000,329846252
1994,475.677874448369,1191835000,339789820
1995,612.680277898627,1204855000,349894476
1996,713.337387811657,1217550000,371107586
1997,786.743548510999,1230075000,392516368
1998,835.095348597432,1241935000,414187388
1999,881.146614068925,1252735000,435697538
2000,969.199513696287,1262645000,460007123
2001,1065.40597574519,1271850000,478975457
2002,1163.55957673426,1280400000,500505578
2003,1306.97245408557,1288400000,522191502
2004,1530.92726215723,1296075000,541241096
2005,1777.64496828464,1303720000,560469200
2006,2129.25696999613,1311020000,581345729
2007,2734.72709877693,1317885000,604767464
2008,3523.44302065213,1324655000,622448838
2009,3898.24459158811,1331260000,643553786
2010,4629.24551710077,1337705000,658606042
2011,5703.76027973346,1345035000,697132024
2012,6405.0574241349,1354190000,719079105
2013,7147.03518622344,1363240000,742829499
2014,7781.06597484974,1371860000,764815456
2015,8175.33285077393,1379860000,791070763
2016,8254.86859320357,1387790000,816574579
2017,8979.67652709856,1396215000,841083668
2018,10085.6638148819,1402760000,862700183
2019,10342.9009524335,1407745000,882795695
2020,10627.4637989619,1411100000,896379022
2021,12887.4357242941,1412360000,914094603
2022,12970.6056414327,1412175000,920987153
2023,12951.1782397043,1410710000,924440306
2024,13303.1481543868,1408975000,928439823
