Year,country,code,commodityName,productionMT,productionBushels,exportsMT,exportsBushels,importsMT,importsBushels,consumptionMT,consumptionBushels,importPercentageWorldwide,endingStockMT,endingStockBushels
1999,Argentina,AR,soybeans,21200000.0,778966439.9999999,4125000.0,151567762.5,218000.0,8010126.6,17934000.0,658961515.8,0.4788893282368965,6504000.0,238981024.79999998
2000,Argentina,AR,soybeans,27800000.0,1021474859.9999999,7304000.0,268375984.79999998,320000.0,11757983.999999998,18340000.0,673879458.0,0.6027614006668047,8980000.0,329958426.0
2001,Argentina,AR,soybeans,30000000.0,1102311000.0,5960000.0,218992451.99999997,251000.0,9222668.7,21999000.0,808324656.3,0.4617620545651894,11272000.0,414174986.4
2002,Argentina,AR,soybeans,35500000.0,1304401350.0,8624000.0,316877668.79999995,383000.0,14072837.1,24793000.0,910986554.0999999,0.6090482627017572,13738000.0,504784950.59999996
2003,Argentina,AR,soybeans,33000000.0,1212542100.0,6741000.0,247689281.7,537000.0,19731366.9,26440000.0,971503427.9999999,0.9937635323944705,14094000.0,517865707.79999995
2004,Argentina,AR,soybeans,39000000.0,1433004299.9999998,9568000.0,351563721.59999996,692000.0,25426640.4,28753000.0,1056491606.0999999,1.088666540809263,15465000.0,568241320.5
2005,Argentina,AR,soybeans,40500000.0,1488119849.9999998,7249000.0,266355081.29999998,584000.0,21458320.799999997,33408000.0,1227533529.6,0.9208887206900359,15892000.0,583930880.4
2006,Argentina,AR,soybeans,48800000.0,1793092559.9999998,9560000.0,351269772.0,1986000.0,72972988.19999999,35216000.0,1293966139.1999998,2.8551301772595927,21902000.0,804760517.4
2007,Argentina,AR,soybeans,46200000.0,1697558939.9999998,13839000.0,508496064.29999995,2954000.0,108540889.8,36332000.0,1334972108.3999999,3.759561172412915,20885000.0,767392174.4999999
2008,Argentina,AR,soybeans,32000000.0,1175798400.0,5590000.0,205397282.99999997,1241000.0,45598931.699999996,33093000.0,1215959264.1,1.5935794542536117,15443000.0,567432959.0999999
2009,Argentina,AR,soybeans,54500000.0,2002531649.9999998,13088000.0,480901545.59999996,1000.0,36743.7,36427000.0,1338462759.8999999,0.0011427004296553616,20429000.0,750637047.3
2010,Argentina,AR,soybeans,49000000.0,1800441299.9999998,9206000.0,338262502.2,13000.0,477668.1,39994000.0,1469527537.8,0.01448580947817657,20242000.0,743765975.4
2011,Argentina,AR,soybeans,40100000.0,1473422369.9999998,7368000.0,270727581.59999996,0.0,0.0,38636000.0,1419629593.1999998,0.0,14338000.0,526831170.59999996
2012,Argentina,AR,soybeans,49300000.0,1811464409.9999998,7738000.0,284322750.59999996,2000.0,73487.4,38611000.0,1418711000.6999998,0.00205907485766645,17291000.0,635335316.6999999
2013,Argentina,AR,soybeans,53400000.0,1962113579.9999998,7842000.0,288144095.4,1000.0,36743.7,41173000.0,1512848360.1,0.0008827527762574812,21677000.0,796493184.9
2014,Argentina,AR,soybeans,61450000.0,2257900365.0,10575000.0,388564627.49999994,2000.0,73487.4,45485000.0,1671287194.4999998,0.0016082858888996107,27069000.0,994615215.3
2015,Argentina,AR,soybeans,58800000.0,2160529560.0,9922000.0,364570991.4,676000.0,24838741.2,49467000.0,1817600607.8999999,0.5043120169496583,27156000.0,997811917.1999999
2016,Argentina,AR,soybeans,55000000.0,2020903499.9999998,7025000.0,258124492.49999997,1674000.0,61508953.8,49809000.0,1830166953.3,1.1544668349402079,26996000.0,991932925.1999999
2017,Argentina,AR,soybeans,37800000.0,1388911860.0,2132000.0,78337568.39999999,4703000.0,172805621.1,43633000.0,1603237862.1,3.050627574352155,23734000.0,872074975.8
2018,Argentina,AR,soybeans,55300000.0,2031926609.9999998,9104000.0,334514644.79999995,6408000.0,235453629.6,47467000.0,1744113207.8999999,4.391357085586234,28871000.0,1060827362.6999999
2019,Argentina,AR,soybeans,48800000.0,1793092559.9999998,10004000.0,367583974.79999995,4882000.0,179382743.39999998,46020000.0,1690945073.9999998,2.95309645652621,26529000.0,974773617.3
2020,Argentina,AR,soybeans,46200000.0,1697558939.9999998,5195000.0,190883521.49999997,4816000.0,176957659.2,47512000.0,1745766674.3999999,2.8943003437582635,24838000.0,912640020.5999999
2021,Argentina,AR,soybeans,43900000.0,1613048429.9999998,2861000.0,105123725.69999999,3839000.0,141059064.29999998,46025000.0,1691128792.4999998,2.4805670606023402,23691000.0,870494996.6999999
2022,Argentina,AR,soybeans,25000000.0,918592499.9999999,4185000.0,153772384.5,9059000.0,332861178.29999995,36568000.0,1343643621.6,5.375973983585446,16997000.0,624532668.9
2023,Argentina,AR,soybeans,48210000.0,1771413776.9999998,5114000.0,187907281.79999998,7787000.0,286123191.9,43833000.0,1610586602.1,4.364469952583259,24047000.0,883575753.9
2024,Argentina,AR,soybeans,51108000.0,1877897019.6,7874000.0,289319893.79999995,6324000.0,232367158.79999998,50515000.0,1856108005.4999998,3.525633878197266,23090000.0,848412032.9999999
