State,County,State County Code,Year,Total Planted Acres
Alabama,AUTAUGA,1001,2012,1738.7
Alabama,BALDWIN,1003,2012,12749.4
Alabama,BARBOUR,1005,2012,723.3
Alabama,BIBB,1007,2012,114.3
Alabama,BLOUNT,1009,2012,2019.1
Alabama,BULLOCK,1011,2012,531.3
Alabama,BUTLER,1013,2012,1013.9
Alabama,CALHOUN,1015,2012,2286.2
Alabama,CHAMBERS,1017,2012,51.7
Alabama,CHEROKEE,1019,2012,9864.300000000001
Alabama,CHILTON,1021,2012,570.1
Alabama,CLARKE,1025,2012,5.8
Alabama,CLAY,1027,2012,58.7
Alabama,CLEBURNE,1029,2012,228.7
Alabama,COFFEE,1031,2012,2159.6
Alabama,COLBERT,1033,2012,16660.7
Alabama,CONECUH,1035,2012,379.1
Alabama,COVINGTON,1039,2012,1714.8
Alabama,CRENSHAW,1041,2012,609.3
Alabama,CULLMAN,1043,2012,6155.1
Alabama,DALE,1045,2012,394.5
Alabama,DALLAS,1047,2012,8324.699999999999
Alabama,DE KALB,1049,2012,11506.2
Alabama,ELMORE,1051,2012,1797.4
Alabama,ESCAMBIA,1053,2012,1991.6
Alabama,ETOWAH,1055,2012,2194.7
Alabama,FAYETTE,1057,2012,2445.7
Alabama,FRANKLIN,1059,2012,3576.1
Alabama,GENEVA,1061,2012,2395.5
Alabama,GREENE,1063,2012,1145.2
Alabama,HALE,1065,2012,4337.280000000001
Alabama,HENRY,1067,2012,1463.4
Alabama,HOUSTON,1069,2012,1865.1
Alabama,JACKSON,1071,2012,23332.2
Alabama,LAMAR,1075,2012,1339.4
Alabama,LAUDRDALE,1077,2012,15365.4
Alabama,LAWRENCE,1079,2012,22663.57
Alabama,LEE,1081,2012,463.0
Alabama,LIMESTONE,1083,2012,53659.200000000004
Alabama,LOWNDES,1085,2012,5338.200000000001
Alabama,MACON,1087,2012,1964.13
Alabama,MADISON,1089,2012,34763.5
Alabama,MARENGO,1091,2012,5047.2
Alabama,MARION,1093,2012,3992.5
Alabama,MARSHALL,1095,2012,4470.6
Alabama,MOBILE,1097,2012,2960.9
Alabama,MONROE,1099,2012,1823.7
Alabama,MONTGOMRY,1101,2012,2459.7000000000003
Alabama,MORGAN,1103,2012,7247.6
Alabama,PERRY,1105,2012,8733.22
Alabama,PICKENS,1107,2012,3033.8
Alabama,PIKE,1109,2012,1769.9
Alabama,RANDOLPH,1111,2012,73.9
Alabama,RUSSELL,1113,2012,983.02
Alabama,SHELBY,1117,2012,1176.1
Alabama,ST CLAIR,1115,2012,58.0
Alabama,SUMTER,1119,2012,2394.8399999999997
Alabama,TALAPOOSA,1123,2012,170.7
Alabama,TALLADEGA,1121,2012,6161.1
Alabama,TUSCALOOS,1125,2012,3378.4
Alabama,WALKER,1127,2012,739.0
Alabama,WASHNGTON,1129,2012,45.63
Alabama,WILCOX,1131,2012,1268.7
Alabama,WINSTON,1133,2012,334.4
Arkansas,ARKANSAS,5001,2012,168155.71
Arkansas,ASHLEY,5003,2012,46513.0
Arkansas,BENTON,5007,2012,724.15
Arkansas,CHICOT,5017,2012,122155.43
Arkansas,CLARK,5019,2012,5707.9
Arkansas,CLAY,5021,2012,110450.0
Arkansas,CONWAY,5029,2012,16073.2
Arkansas,CRAIGHEAD,5031,2012,107435.5
Arkansas,CRAWFORD,5033,2012,14263.4
Arkansas,CRITTNDEN,5035,2012,209099.9
Arkansas,CROSS,5037,2012,171520.69999999998
Arkansas,DESHA,5041,2012,124045.09
Arkansas,DREW,5043,2012,31879.699999999997
Arkansas,FAULKNER,5045,2012,7180.4
Arkansas,FRANKLIN,5047,2012,1006.7
Arkansas,GREENE,5055,2012,63558.5
Arkansas,HEMPSTEAD,5057,2012,140.9
Arkansas,HT SPRING,5059,2012,1292.1
Arkansas,INDEPNDCE,5063,2012,27633.21
Arkansas,IZARD,5065,2012,29.3
Arkansas,JACKSON,5067,2012,148058.19
Arkansas,JEFFERSON,5069,2012,110318.6
Arkansas,JOHNSON,5071,2012,2002.3
Arkansas,LAFAYETTE,5073,2012,10703.07
Arkansas,LAWRENCE,5075,2012,76662.64
Arkansas,LEE,5077,2012,128922.6
Arkansas,LINCOLN,5079,2012,70931.5
Arkansas,LITTLE RI,5081,2012,13672.44
Arkansas,LOGAN,5083,2012,3736.1
Arkansas,LONOKE,5085,2012,122212.68
Arkansas,MADISON,5087,2012,0.0
Arkansas,MILLER,5091,2012,27358.59
Arkansas,MISSISSIP,5093,2012,234588.46
Arkansas,MONROE,5095,2012,102824.34999999999
Arkansas,PERRY,5105,2012,1798.6
Arkansas,PHILLIPS,5107,2012,216933.39999999997
