State,County,State County Code,Year,Total Planted Acres
Alabama,Autauga,1001,2024,14.14
Alabama,Baldwin,1003,2024,9719.6
Alabama,Barbour,1005,2024,374.1
Alabama,Bibb,1007,2024,170.45
Alabama,Blount,1009,2024,3533.28
Alabama,Bullock,1011,2024,355.83
Alabama,Butler,1013,2024,528.59
Alabama,Calhoun,1015,2024,2796.9500000000003
Alabama,Cherokee,1019,2024,6383.83
Alabama,Clarke,1025,2024,216.57
Alabama,Clay,1027,2024,143.0
Alabama,Cleburne,1029,2024,134.92
Alabama,Coffee,1031,2024,1577.3
Alabama,Colbert,1033,2024,24501.57
Alabama,Conecuh,1035,2024,618.65
Alabama,Covington,1039,2024,1668.65
Alabama,Crenshaw,1041,2024,285.75
Alabama,Cullman,1043,2024,8417.76
Alabama,Dale,1045,2024,136.39
Alabama,Dallas,1047,2024,6715.1900000000005
Alabama,DeKalb,1049,2024,11347.44
Alabama,Elmore,1051,2024,3426.41
Alabama,Escambia,1053,2024,5058.389999999999
Alabama,Etowah,1055,2024,3095.12
Alabama,Fayette,1057,2024,1663.37
Alabama,Franklin,1059,2024,4915.92
Alabama,Geneva,1061,2024,1912.27
Alabama,Greene,1063,2024,259.76
Alabama,Hale,1065,2024,1498.8899999999999
Alabama,Henry,1067,2024,8.1
Alabama,Houston,1069,2024,460.7
Alabama,Jackson,1071,2024,28240.78
Alabama,Lamar,1075,2024,950.65
Alabama,Lauderdale,1077,2024,23527.72
Alabama,Lawrence,1079,2024,38462.509999999995
Alabama,Limestone,1083,2024,46953.700000000004
Alabama,Lowndes,1085,2024,3178.015
Alabama,Macon,1087,2024,696.41
Alabama,Madison,1089,2024,38349.32
Alabama,Marengo,1091,2024,3816.9
Alabama,Marion,1093,2024,4264.49
Alabama,Marshall,1095,2024,7126.27
Alabama,Mobile,1097,2024,91.8
Alabama,Monroe,1099,2024,5516.280000000001
Alabama,Montgomery,1101,2024,1905.81
Alabama,Morgan,1103,2024,9440.06
Alabama,Perry,1105,2024,8163.629999999999
Alabama,Pickens,1107,2024,2508.1899999999996
Alabama,Pike,1109,2024,456.0
Alabama,Randolph,1111,2024,408.71
Alabama,Russell,1113,2024,890.9
Alabama,Shelby,1117,2024,2289.59
Alabama,St. Clair,1115,2024,186.28
Alabama,Sumter,1119,2024,1704.98
Alabama,Talladega,1121,2024,4705.9
Alabama,Tallapoosa,1123,2024,51.0
Alabama,Tuscaloosa,1125,2024,2865.41
Alabama,Walker,1127,2024,692.05
Alabama,Washington,1129,2024,1401.2
Alabama,Wilcox,1131,2024,471.76
Alabama,Winston,1133,2024,129.0
Arizona,Pinal,4021,2024,8.29
Arkansas,Arkansas,5001,2024,175202.23
Arkansas,Ashley,5003,2024,56053.78
Arkansas,Benton,5007,2024,176.95
Arkansas,Chicot,5017,2024,159849.61000000002
Arkansas,Clark,5019,2024,4086.65
Arkansas,Clay,5021,2024,106186.76000000001
Arkansas,Conway,5029,2024,14984.15
Arkansas,Craighead,5031,2024,89620.72
Arkansas,Crawford,5033,2024,12277.91
Arkansas,Crittenden,5035,2024,229717.25
Arkansas,Cross,5037,2024,149732.355
Arkansas,Desha,5041,2024,127109.68
Arkansas,Drew,5043,2024,23442.77
Arkansas,Faulkner,5045,2024,6533.87
Arkansas,Franklin,5047,2024,1608.13
Arkansas,Greene,5055,2024,70582.88
Arkansas,Hot Spring,5059,2024,451.89
Arkansas,Independence,5063,2024,23418.61
Arkansas,Jackson,5067,2024,112210.69
Arkansas,Jefferson,5069,2024,108065.33
Arkansas,Johnson,5071,2024,2913.45
Arkansas,Lafayette,5073,2024,14837.35
Arkansas,Lawrence,5075,2024,74264.31999999999
Arkansas,Lee,5077,2024,121920.61
Arkansas,Lincoln,5079,2024,59246.299999999996
Arkansas,Little River,5081,2024,10337.66
Arkansas,Logan,5083,2024,5807.58
Arkansas,Lonoke,5085,2024,101694.66
